1,Legal,53,"Employee Records",2,0,Approved,"2025-03-30 00:00:00","2026-04-01 00:00:00"
2,Marketing,47,"Transaction Records",7,0,Approved,"2025-02-11 00:00:00","2025-10-10 00:00:00"
3,Marketing,16,"Security Logs",3,1,Approved,"2024-02-21 00:00:00","2025-12-08 00:00:00"
4,Marketing,17,"Contract Documents",5,1,Approved,"2025-08-23 00:00:00","2025-08-10 00:00:00"
5,Marketing,43,"Customer Email Data",2,0,Approved,"2024-05-13 00:00:00","2026-07-08 00:00:00"
6,HR,23,"Transaction Records",2,1,Approved,"2025-01-01 00:00:00","2025-09-01 00:00:00"
7,Legal,42,"Transaction Records",4,0,Approved,"2024-05-09 00:00:00","2026-03-08 00:00:00"
8,Legal,15,"Transaction Records",9,0,Pending,"2025-06-09 00:00:00","2026-08-31 00:00:00"
9,Finance,58,"Contract Documents",5,1,Pending,"2025-04-14 00:00:00","2026-10-21 00:00:00"
10,Finance,8,"Security Logs",8,0,Approved,"2025-05-17 00:00:00","2026-12-31 00:00:00"
11,IT,10,"Transaction Records",7,1,Approved,"2024-05-09 00:00:00","2025-10-09 00:00:00"
12,Legal,75,"Contract Documents",7,0,Pending,"2025-04-09 00:00:00","2026-06-02 00:00:00"
13,Legal,56,"Transaction Records",3,1,Pending,"2025-04-07 00:00:00","2025-08-22 00:00:00"
14,IT,44,"Security Logs",8,0,Approved,"2024-11-16 00:00:00","2026-03-14 00:00:00"
15,HR,33,"Employee Records",4,0,Approved,"2024-04-03 00:00:00","2025-03-29 00:00:00"
16,Finance,56,"Transaction Records",7,1,Approved,"2025-08-23 00:00:00","2026-07-30 00:00:00"
17,Legal,43,"Transaction Records",8,0,Pending,"2024-02-22 00:00:00","2025-10-22 00:00:00"
18,Legal,40,"Employee Records",3,1,Approved,"2025-11-03 00:00:00","2026-05-09 00:00:00"
19,Marketing,14,"Employee Records",10,0,Approved,"2024-10-12 00:00:00","2026-08-11 00:00:00"
20,Marketing,55,"Contract Documents",10,1,Pending,"2024-01-30 00:00:00","2025-07-04 00:00:00"
21,HR,40,"Employee Records",7,1,Approved,"2024-05-26 00:00:00","2026-08-03 00:00:00"
22,IT,9,"Customer Email Data",2,1,Approved,"2025-01-20 00:00:00","2026-03-06 00:00:00"
23,IT,44,"Customer Email Data",7,0,Pending,"2025-08-04 00:00:00","2026-09-03 00:00:00"
24,Finance,7,"Customer Email Data",4,1,Approved,"2024-10-05 00:00:00","2026-03-30 00:00:00"
25,IT,63,"Contract Documents",9,0,Pending,"2024-08-08 00:00:00","2026-06-09 00:00:00"
26,Finance,45,"Security Logs",3,0,Pending,"2025-06-23 00:00:00","2026-11-15 00:00:00"
27,HR,6,"Customer Email Data",8,1,Approved,"2024-07-28 00:00:00","2025-11-05 00:00:00"
28,Marketing,18,"Employee Records",6,0,Approved,"2024-01-08 00:00:00","2026-05-25 00:00:00"
29,IT,23,"Customer Email Data",8,1,Pending,"2024-03-14 00:00:00","2026-02-11 00:00:00"
30,Finance,56,"Transaction Records",9,1,Pending,"2025-08-12 00:00:00","2026-03-16 00:00:00"
31,Legal,52,"Security Logs",6,1,Pending,"2024-01-22 00:00:00","2025-11-29 00:00:00"
32,Marketing,59,"Employee Records",3,0,Approved,"2024-09-06 00:00:00","2026-03-23 00:00:00"
33,Legal,52,"Contract Documents",3,0,Pending,"2024-12-13 00:00:00","2025-08-15 00:00:00"
34,HR,22,"Transaction Records",10,1,Approved,"2024-12-23 00:00:00","2025-12-26 00:00:00"
35,Marketing,31,"Transaction Records",4,0,Approved,"2024-06-26 00:00:00","2026-09-09 00:00:00"
36,Marketing,10,"Customer Email Data",9,0,Pending,"2025-11-28 00:00:00","2026-08-02 00:00:00"
37,Legal,42,"Employee Records",4,0,Approved,"2025-04-25 00:00:00","2026-03-29 00:00:00"
38,HR,36,"Contract Documents",2,0,Approved,"2024-11-13 00:00:00","2026-04-18 00:00:00"
39,IT,5,"Transaction Records",7,0,Approved,"2025-10-22 00:00:00","2025-04-03 00:00:00"
40,Legal,65,"Security Logs",9,1,Pending,"2025-08-08 00:00:00","2026-10-30 00:00:00"
41,Marketing,42,"Contract Documents",9,1,Approved,"2025-04-06 00:00:00","2025-04-16 00:00:00"
42,HR,11,"Contract Documents",4,1,Approved,"2025-12-25 00:00:00","2026-03-25 00:00:00"
43,IT,68,"Contract Documents",4,0,Pending,"2024-10-16 00:00:00","2026-02-01 00:00:00"
44,IT,44,"Contract Documents",2,0,Approved,"2024-12-03 00:00:00","2025-04-07 00:00:00"
45,Legal,50,"Employee Records",6,1,Pending,"2024-03-24 00:00:00","2026-08-20 00:00:00"
46,Marketing,45,"Employee Records",8,1,Approved,"2024-11-13 00:00:00","2026-07-27 00:00:00"
47,IT,43,"Customer Email Data",10,1,Pending,"2025-06-04 00:00:00","2026-01-06 00:00:00"
48,Finance,47,"Employee Records",4,1,Pending,"2025-05-12 00:00:00","2025-07-16 00:00:00"
49,Marketing,18,"Customer Email Data",3,0,Approved,"2025-06-03 00:00:00","2026-07-07 00:00:00"
50,Legal,5,"Employee Records",4,0,Approved,"2024-06-15 00:00:00","2025-07-05 00:00:00"
51,Legal,22,"Security Logs",2,0,Pending,"2025-11-23 00:00:00","2025-09-01 00:00:00"
52,IT,37,"Security Logs",5,1,Pending,"2025-04-25 00:00:00","2025-07-18 00:00:00"
53,HR,74,"Security Logs",9,0,Pending,"2025-05-29 00:00:00","2026-06-25 00:00:00"
54,IT,21,"Customer Email Data",4,0,Approved,"2025-10-18 00:00:00","2026-05-08 00:00:00"
55,HR,71,"Transaction Records",10,1,Pending,"2024-03-26 00:00:00","2025-06-14 00:00:00"
56,HR,58,"Contract Documents",4,0,Approved,"2024-08-15 00:00:00","2026-04-07 00:00:00"
57,HR,4,"Security Logs",2,0,Pending,"2024-08-29 00:00:00","2026-01-31 00:00:00"
58,Finance,48,"Customer Email Data",2,0,Approved,"2025-10-27 00:00:00","2025-12-10 00:00:00"
59,Marketing,18,"Transaction Records",6,0,Approved,"2025-12-23 00:00:00","2026-04-26 00:00:00"
60,IT,1,"Transaction Records",2,0,Approved,"2024-06-02 00:00:00","2026-07-16 00:00:00"
61,Legal,128,"Employee Records",2,0,Approved,"2025-03-30 00:00:00","2026-04-01 00:00:00"
62,Marketing,122,"Transaction Records",7,0,Approved,"2025-02-11 00:00:00","2025-10-10 00:00:00"
63,Marketing,91,"Security Logs",3,1,Approved,"2024-02-21 00:00:00","2025-12-08 00:00:00"
64,Marketing,92,"Contract Documents",5,1,Approved,"2025-08-23 00:00:00","2025-08-10 00:00:00"
65,Marketing,118,"Customer Email Data",2,0,Approved,"2024-05-13 00:00:00","2026-07-08 00:00:00"
66,HR,98,"Transaction Records",2,1,Approved,"2025-01-01 00:00:00","2025-09-01 00:00:00"
67,Legal,117,"Transaction Records",4,0,Approved,"2024-05-09 00:00:00","2026-03-08 00:00:00"
68,Legal,90,"Transaction Records",9,0,Pending,"2025-06-09 00:00:00","2026-08-31 00:00:00"
69,Finance,133,"Contract Documents",5,1,Pending,"2025-04-14 00:00:00","2026-10-21 00:00:00"
70,Finance,83,"Security Logs",8,0,Approved,"2025-05-17 00:00:00","2026-12-31 00:00:00"
71,IT,85,"Transaction Records",7,1,Approved,"2024-05-09 00:00:00","2025-10-09 00:00:00"
72,Legal,150,"Contract Documents",7,0,Pending,"2025-04-09 00:00:00","2026-06-02 00:00:00"
73,Legal,131,"Transaction Records",3,1,Pending,"2025-04-07 00:00:00","2025-08-22 00:00:00"
74,IT,119,"Security Logs",8,0,Approved,"2024-11-16 00:00:00","2026-03-14 00:00:00"
75,HR,108,"Employee Records",4,0,Approved,"2024-04-03 00:00:00","2025-03-29 00:00:00"
76,Finance,131,"Transaction Records",7,1,Approved,"2025-08-23 00:00:00","2026-07-30 00:00:00"
77,Legal,118,"Transaction Records",8,0,Pending,"2024-02-22 00:00:00","2025-10-22 00:00:00"
78,Legal,115,"Employee Records",3,1,Approved,"2025-11-03 00:00:00","2026-05-09 00:00:00"
79,Marketing,89,"Employee Records",10,0,Approved,"2024-10-12 00:00:00","2026-08-11 00:00:00"
80,Marketing,130,"Contract Documents",10,1,Pending,"2024-01-30 00:00:00","2025-07-04 00:00:00"
81,HR,115,"Employee Records",7,1,Approved,"2024-05-26 00:00:00","2026-08-03 00:00:00"
82,IT,84,"Customer Email Data",2,1,Approved,"2025-01-20 00:00:00","2026-03-06 00:00:00"
83,IT,119,"Customer Email Data",7,0,Pending,"2025-08-04 00:00:00","2026-09-03 00:00:00"
84,Finance,82,"Customer Email Data",4,1,Approved,"2024-10-05 00:00:00","2026-03-30 00:00:00"
85,IT,138,"Contract Documents",9,0,Pending,"2024-08-08 00:00:00","2026-06-09 00:00:00"
