1,Vendor_0,80,High,Compliant,Approved,"2023-07-18 00:00:00","2024-09-07 00:00:00","2025-08-17 00:00:00"
2,Vendor_1,48,Low,Non-Compliant,Approved,"2022-06-28 00:00:00","2025-08-27 00:00:00","2026-03-09 00:00:00"
3,Vendor_2,42,Low,Compliant,Approved,"2023-03-24 00:00:00","2024-08-26 00:00:00","2026-06-02 00:00:00"
4,Vendor_3,78,High,Compliant,Rejected,"2023-02-12 00:00:00","2025-10-27 00:00:00","2026-12-20 00:00:00"
5,Vendor_4,74,High,"Under Review",Approved,"2024-07-08 00:00:00","2025-08-26 00:00:00","2025-10-12 00:00:00"
6,Vendor_5,91,Critical,Compliant,Approved,"2024-05-15 00:00:00","2024-12-14 00:00:00","2025-10-12 00:00:00"
7,Vendor_6,49,Low,Compliant,Pending,"2022-07-29 00:00:00","2024-04-04 00:00:00","2026-01-25 00:00:00"
8,Vendor_7,46,Low,"Under Review",Pending,"2023-06-26 00:00:00","2024-02-14 00:00:00","2026-04-16 00:00:00"
9,Vendor_8,74,High,Compliant,Pending,"2022-06-11 00:00:00","2025-07-19 00:00:00","2025-10-28 00:00:00"
10,Vendor_9,93,Critical,Non-Compliant,Rejected,"2024-01-11 00:00:00","2025-08-14 00:00:00","2025-07-16 00:00:00"
11,Vendor_10,85,Critical,Compliant,Approved,"2023-04-12 00:00:00","2024-10-23 00:00:00","2025-03-23 00:00:00"
12,Vendor_11,94,Critical,Compliant,Approved,"2024-02-18 00:00:00","2024-10-11 00:00:00","2026-04-10 00:00:00"
13,Vendor_12,80,High,"Under Review",Approved,"2024-01-29 00:00:00","2024-12-29 00:00:00","2025-08-03 00:00:00"
14,Vendor_13,82,High,"Under Review",Rejected,"2022-05-27 00:00:00","2025-09-15 00:00:00","2026-10-13 00:00:00"
15,Vendor_14,50,Medium,Non-Compliant,Rejected,"2023-05-17 00:00:00","2024-06-16 00:00:00","2026-04-19 00:00:00"
16,Vendor_15,64,Medium,"Under Review",Rejected,"2023-03-26 00:00:00","2025-12-02 00:00:00","2025-11-29 00:00:00"
17,Vendor_16,93,Critical,Compliant,Approved,"2022-03-07 00:00:00","2024-11-19 00:00:00","2026-02-15 00:00:00"
18,Vendor_17,57,Medium,Compliant,Approved,"2023-10-07 00:00:00","2024-08-05 00:00:00","2026-11-03 00:00:00"
19,Vendor_18,71,High,"Under Review",Rejected,"2024-07-28 00:00:00","2024-05-26 00:00:00","2025-09-29 00:00:00"
20,Vendor_19,48,Low,Compliant,Rejected,"2023-06-23 00:00:00","2025-08-21 00:00:00","2026-03-15 00:00:00"
21,Vendor_20,77,High,"Under Review",Pending,"2023-03-26 00:00:00","2024-05-21 00:00:00","2026-06-06 00:00:00"
22,Vendor_21,71,High,Compliant,Approved,"2022-08-13 00:00:00","2024-06-05 00:00:00","2026-10-05 00:00:00"
23,Vendor_22,50,Medium,Non-Compliant,Pending,"2022-05-11 00:00:00","2025-01-29 00:00:00","2026-01-26 00:00:00"
24,Vendor_23,78,High,"Under Review",Rejected,"2023-05-30 00:00:00","2025-07-20 00:00:00","2025-01-12 00:00:00"
25,Vendor_24,83,High,Non-Compliant,Approved,"2023-07-01 00:00:00","2025-10-18 00:00:00","2025-12-15 00:00:00"
26,Vendor_25,47,Low,"Under Review",Pending,"2022-11-20 00:00:00","2025-04-09 00:00:00","2025-01-04 00:00:00"
27,Vendor_26,86,Critical,Non-Compliant,Pending,"2024-10-22 00:00:00","2024-07-01 00:00:00","2026-06-04 00:00:00"
28,Vendor_27,46,Low,Non-Compliant,Pending,"2024-11-05 00:00:00","2025-09-15 00:00:00","2025-07-23 00:00:00"
29,Vendor_28,49,Low,"Under Review",Approved,"2024-12-22 00:00:00","2024-01-01 00:00:00","2026-09-06 00:00:00"
30,Vendor_29,60,Medium,"Under Review",Approved,"2022-08-18 00:00:00","2025-01-06 00:00:00","2025-11-11 00:00:00"
31,Vendor_30,55,Medium,Compliant,Approved,"2022-06-11 00:00:00","2024-03-28 00:00:00","2026-05-13 00:00:00"
32,Vendor_31,92,Critical,Compliant,Rejected,"2022-09-15 00:00:00","2024-05-11 00:00:00","2026-11-07 00:00:00"
33,Vendor_32,70,High,Non-Compliant,Approved,"2023-06-27 00:00:00","2025-06-24 00:00:00","2026-09-14 00:00:00"
34,Vendor_33,67,Medium,Compliant,Rejected,"2023-02-16 00:00:00","2025-12-31 00:00:00","2025-11-16 00:00:00"
35,Vendor_34,65,Medium,Non-Compliant,Rejected,"2024-02-04 00:00:00","2025-03-24 00:00:00","2026-06-14 00:00:00"
36,Vendor_35,68,Medium,Compliant,Approved,"2023-04-06 00:00:00","2024-03-06 00:00:00","2025-12-13 00:00:00"
37,Vendor_36,41,Low,Non-Compliant,Rejected,"2023-04-17 00:00:00","2025-08-25 00:00:00","2025-08-14 00:00:00"
38,Vendor_37,40,Low,Compliant,Rejected,"2022-05-01 00:00:00","2024-08-22 00:00:00","2025-03-11 00:00:00"
39,Vendor_38,42,Low,"Under Review",Approved,"2024-11-18 00:00:00","2024-08-31 00:00:00","2025-10-13 00:00:00"
40,Vendor_39,82,High,"Under Review",Approved,"2022-09-28 00:00:00","2025-08-07 00:00:00","2026-08-14 00:00:00"
41,Vendor_40,70,High,Compliant,Pending,"2024-04-13 00:00:00","2024-07-13 00:00:00","2025-04-07 00:00:00"
